Id,Name,Sektor,Partei,Typ
F1,Folge 1,NA,NA,2
UL,Ursula von der Leyen,Politik,CDU,1
LK,Lars Klingbeil,Politik,SPD,1
NR,Norbert Röttgen,Politik,CDU,1
SW,Sahra Wagenknecht,Politik,Die LINKE,1
CS,Constanze Stelzenmüller,Journalismus,NA,1
F2,Folge 2,NA,NA,2
CL,Christian Lindne,Politik,FDP,1
KS,Karl Schlögel,Historiker,NA,1
LM,Ljudmyla Melnyk,Wissenschaft,NA,1
KD,Kristina Dunz,Journalismus,NA,1
EL,Egils Levits,Politik,NA,1
F3,Folge 3,NA,NA,2
AB,Annalena Baerbock,Politik,Die Grünen,1
FT,Frans Timmermans,Politik,NA,1
AM,Andrij Melnyk,Politik,NA,1
AL,Alexander Graf Lambsdorff,Politik,FDP,1
ER,"Egon Ramms,",MiIlitär,NA,1
F4,Folge 4,NA,NA,2
RH,Robert Habeck,Politik,Die Grünen,1
CM,Claudia Major,Wissenschaft,NA,1
KP,"Katja Petrowskaja,",Journalismus,NA,1
RK,Roderich Kiesewetter,Politik,NA,1
F5,Folge 5,NA,NA,2
CLB,Christine Lambrecht,Politik,SPD,1
SB,Stefanie Babst,Politik,NA,1
CH,Christoph Heusgen,Politik,NA,1
MW,Marina Weisband,Journalismus,NA,1